test_data/10.txt
SALIDA LLEGADA DISTANCIA
1   1   0
1   2   103
1   3   200
1   4   86
1   5   202
1   6   133
1   7   107
1   8   189
1   9   87
1   10   173

test_data/12.txt
SALIDA LLEGADA DISTANCIA
1   1   0
1   2   491
1   3   527
1   4   537
1   5   422
1   6   542
1   7   402
1   8   343
1   9   272
1   10   537
1   11   446
1   12   486

test_data/15.txt
SALIDA LLEGADA DISTANCIA
1   1   0
1   2   365
1   3   254
1   4   237
1   5   117
1   6   135
1   7   283
1   8   145
1   9   18
1   10   75
1   11   271
1   12   60
1   13   174
1   14   312
1   15   356

test_data/20.txt
SALIDA LLEGADA DISTANCIA
1   1   0
1   2   244
1   3   267
1   4   329
1   5   28
1   6   238
1   7   58
1   8   138
1   9   373
1   10   168
1   11   360
1   12   339
1   13   255
1   14   444
1   15   248
1   16   457
1   17   299
1   18   260
1   19   422
1   20   295

test_data/30.txt
SALIDA LLEGADA DISTANCIA
1   1   0
1   2   61
1   3   412
1   4   332
1   5   267
1   6   349
1   7   63
1   8   159
1   9   133
1   10   159
1   11   273
1   12   272
1   13   320
1   14   155
1   15   186
1   16   218
1   17   283
1   18   163
1   19   192
1   20   303
1   21   216
1   22   106
1   23   504
1   24   227
1   25   194
1   26   336
1   27   279
1   28   350
1   29   385
1   30   243

test_data/6.txt
SALIDA LLEGADA DISTANCIA
1   1   0
1   2   223
1   3   158
1   4   143
1   5   343
1   6   107

test_data/8.txt
SALIDA LLEGADA DISTANCIA
1   1   0
1   2   71
1   3   297
1   4   229
1   5   279
1   6   115
1   7   196
1   8   122

test_data/enunciado_11.txt
SALIDA LLEGADA DISTANCIA
1   1   0
1   2   66
1   3   188
1   4   192
1   5   318
1   6   367
1   7   468
1   8   537
1   9   540
1   10   586
1   11   593

